id,phase,phase_name,component,title,description,dependencies,priority,deliverable,acceptance,status
GOV-001,P0,Governance and Spec Freeze,Governance,Create project charter,"Write the mission, non-goals, MVP scope, and acceptance philosophy.",none,P0,docs/CHARTER.md,Charter reviewed and merged.,todo
GOV-002,P0,Governance and Spec Freeze,Governance,Approve trust boundary,Define trusted and untrusted artifacts with examples and taboo list.,GOV-001,P0,specs/TRUST_BOUNDARY_V0.md,All checker-facing crates reference the boundary.,todo
GOV-003,P0,Governance and Spec Freeze,Governance,Define axiom policy,"Classify core, semantic, theory, and external axioms.",GOV-002,P0,specs/AXIOM_POLICY_V0.md,Axiom report categories are fixed.,todo
GOV-004,P0,Governance and Spec Freeze,Governance,Define unsafe-code policy,Set no-unsafe policy for MVP kernel and checker crates.,GOV-002,P0,specs/UNSAFE_POLICY_V0.md,CI can enforce unsafe bans.,todo
SPEC-001,P0,Governance and Spec Freeze,Spec,Freeze core grammar draft,"Finalize levels, terms, declarations, and defeq.",GOV-002,P0,specs/CORE_V0.md,Core grammar is stable for implementation.,todo
SPEC-002,P0,Governance and Spec Freeze,Spec,Freeze certificate schema draft,"Finalize binary layout, canonical rules, and hash domains.",SPEC-001,P0,specs/CERT_V0.md,Schema has rejection conditions.,todo
SPEC-003,P0,Governance and Spec Freeze,Spec,Freeze GIR draft,Finalize GIR module/function/block/instruction schema.,GOV-002,P0,specs/GIR_V0.md,GIR has supported and rejected features.,todo
SPEC-004,P0,Governance and Spec Freeze,Spec,Freeze Go subset draft,Define accepted and rejected Go features.,SPEC-003,P0,specs/GO_SUBSET_V0.md,Unsupported behavior fails closed.,todo
SPEC-005,P0,Governance and Spec Freeze,Spec,Freeze AI API draft,Define ID-based proof API and diagnostics.,SPEC-001,P0,specs/AI_API_V0.md,API cannot bypass certificate checking.,todo
CORE-001,P1,Core Data Model,mpk-core,Create Rust workspace and crates,"Initialize mpk-core, mpk-cert, mpk-kernel, mpk-cli crates.",SPEC-001,P0,Cargo workspace,Workspace builds with empty crates.,todo
CORE-002,P1,Core Data Model,mpk-core,Implement level arena,"Add LevelId, LevelNode, normalization, hashing.",CORE-001,P0,level.rs,Unit tests for level normalization pass.,todo
CORE-003,P1,Core Data Model,mpk-core,Implement term arena,"Add TermId, TermNode, structural hashing, spine application.",CORE-002,P0,term.rs,Terms are interned and topologically inspectable.,todo
CORE-004,P1,Core Data Model,mpk-core,Implement names and global IDs,Add canonical name validation and GlobalId resolution.,CORE-003,P0,name.rs,Invalid names reject deterministically.,todo
CORE-005,P1,Core Data Model,mpk-core,Implement local context,Represent binders and local definitions.,CORE-003,P0,context.rs,Var lookup and local definition lookup tested.,todo
